Nom_Fichier,Artiste,Cluster_ID,Distance_Centroide,Score_Silhouette
baruchello_1.jpg,Baruchello,17,6.3157,-0.0798
basquiat_1.jpg,Basquiat,15,4.5848,0.0824
basquiat_12.jpg,Basquiat,15,4.7959,0.0756
basquiat_2.jpg,Basquiat,27,5.104,-0.0425
basquiat_7.jpg,Basquiat,3,6.3039,0.0158
bazaine_1.jpg,Bazaine,6,7.6107,0.0619
beck_1.jpg,Beck,6,5.161,0.0109
bedin_1.jpg,Bedin,18,6.3599,-0.041
bellaguet_1.jpg,Bellaguet,17,7.4981,-0.0279
bellmer_1.jpg,Bellmer,26,8.4719,-0.1132
beloussovitch_1.jpg,Beloussovitch,18,8.4491,0.0024
benchamma_1.jpg,Benchamma,0,7.0012,-0.1072
benrath_1.jpg,Benrath,4,4.872,0.0996
benrath_2.jpg,Benrath,10,7.9855,-0.0154
bergman_1.jpg,Bergman,6,6.0076,0.0217
bergman_10.jpg,Bergman,9,6.5725,-0.0475
bergman_11.jpg,Bergman,6,6.3827,-0.0002
bergman_12.jpg,Bergman,26,6.7079,-0.1394
bergman_13.jpg,Bergman,7,8.8945,-0.0458
bergman_14.jpg,Bergman,3,5.6208,0.056
bergman_15.jpg,Bergman,11,6.9713,-0.125
bergman_16.jpg,Bergman,18,6.7473,-0.0151
bergman_17.jpg,Bergman,3,7.0079,0.0707
bergman_18.jpg,Bergman,2,7.549,-0.12
bergman_19.jpg,Bergman,11,7.6538,-0.1493
bergman_2.jpg,Bergman,7,8.9762,0.0061
bergman_20.jpg,Bergman,3,7.1011,-0.0283
bergman_21.jpg,Bergman,7,6.6374,-0.0364
bergman_22.jpg,Bergman,16,7.2246,0.0007
bergman_23.jpg,Bergman,24,5.5367,-0.0177
bergman_24.jpg,Bergman,2,7.7957,-0.0959
bergman_25.jpg,Bergman,12,7.4615,0.0808
bergman_26.jpg,Bergman,3,5.9106,0.0153
bergman_27.jpg,Bergman,4,5.316,0.0777
bergman_28.jpg,Bergman,4,6.3047,0.0983
bergman_29.jpg,Bergman,26,6.4578,-0.1132
bergman_3.jpg,Bergman,19,10.2176,-0.023
bergman_30.jpg,Bergman,16,6.2545,0.0865
bergman_31.jpg,Bergman,7,6.876,-0.0701
bergman_32.jpg,Bergman,26,6.3538,-0.0994
bergman_33.jpg,Bergman,4,5.0322,0.0991
bergman_34.jpg,Bergman,16,7.6338,-0.0289
bergman_35.jpg,Bergman,6,6.8481,0.0138
bergman_36.jpg,Bergman,0,10.5426,-0.0098
bergman_37.jpg,Bergman,4,6.1677,0.0756
bergman_38.jpg,Bergman,16,6.5621,-0.0051
bergman_39.jpg,Bergman,7,6.8177,-0.0677
bergman_4.jpg,Bergman,2,6.8799,-0.1055
bergman_40.jpg,Bergman,6,5.1133,0.0057
bergman_41.jpg,Bergman,16,5.8002,-0.0531
bergman_42.jpg,Bergman,3,4.9972,0.0154
bergman_43.jpg,Bergman,16,5.8917,0.0043
bergman_44.jpg,Bergman,20,6.0581,-0.0945
bergman_45.jpg,Bergman,12,9.8928,-0.0197
bergman_46.jpg,Bergman,16,7.0556,-0.0023
bergman_47.jpg,Bergman,14,8.1993,-0.0301
bergman_48.jpg,Bergman,17,10.038,-0.0049
bergman_49.jpg,Bergman,12,8.8553,0.047
bergman_5.jpg,Bergman,1,8.2162,-0.0253
bergman_50.jpg,Bergman,21,5.167,-0.0769
bergman_51.jpg,Bergman,4,4.3981,0.0991
bergman_52.jpg,Bergman,6,6.0259,0.0221
bergman_6.jpg,Bergman,11,8.5682,-0.0969
bergman_7.jpg,Bergman,6,5.6271,0.0001
bergman_8.jpg,Bergman,16,6.2871,0.0299
bergman_9.jpg,Bergman,16,6.1929,-0.052
bergman_91.jpg,Bergman,20,5.8578,-0.0752
bergman_98.jpg,Bergman,17,6.7013,-0.0641
bergman_99.jpg,Bergman,19,6.7797,0.015
berman_1.jpg,Berman,6,6.74,0.0023
bernsk_1.jpg,Bernsk,17,6.1348,-0.092
bernsk_2.jpg,Bernsk,4,5.0495,0.1069
bertholle_1.jpg,Bertholle,4,5.5732,0.0745
bertholle_2.jpg,Bertholle,20,5.2122,-0.0811
bertholle_3.jpg,Bertholle,20,4.5493,-0.0312
bertholle_4.jpg,Bertholle,6,4.8786,-0.0067
bertrand_1.jpg,Bertrand,18,6.3309,-0.0311
bezie_1.jpg,Bezie,17,7.4298,0.004
bissiere_1.jpg,Bissiere,3,4.4701,0.0242
bissiere_2.jpg,Bissiere,3,5.5185,0.0599
bloc_1.jpg,Bloc,11,12.1186,-0.0451
bloch_1.jpg,Bloch,15,6.1092,-0.0078
boccioni_1.jpg,Boccioni,4,3.9587,0.1101
boeti_1.jpg,Boeti,28,4.9155,-0.0782
boetti_1.jpg,Boetti,15,4.114,0.0101
boetti_2.jpg,Boetti,16,6.4838,-0.0148
bonneaud_1.jpg,Bonneaud,14,6.995,-0.0476
boumester_1.jpg,Boumester,17,7.9253,-0.082
bourgeois_1.jpg,Bourgeois,8,5.6671,0.0097
bouttier_1.jpg,Bouttier,24,6.2533,-0.0304
bouttier_2.jpg,Bouttier,4,6.0629,0.0773
bowling_1.jpg,Bowling,20,5.1367,-0.0522
bozzolino_1.jpg,Bozzolino,11,10.9913,-0.0317
bradford_1.jpg,Bradford,4,4.4032,0.0968
bradford_2.jpg,Bradford,24,5.6917,-0.0338
brassai_1.jpg,Brassai,4,4.5139,0.099
brassai_2.jpg,Brassai,4,6.2308,0.0619
brusse_1.jpg,Brusse,16,6.8834,0.0126
brusse_2.jpg,Brusse,6,6.1878,0.0132
bryen_1.jpg,Bryen,21,4.8547,-0.0509
bryen_2.jpg,Bryen,4,5.6221,0.0649
buren_1.jpg,Buren,7,6.9696,0.039
buren_2.jpg,Buren,19,6.7338,0.0163
buren_3.jpg,Buren,19,5.9703,0.2385
buren_4.jpg,Buren,19,5.8785,0.2102
buren_5.jpg,Buren,8,8.0671,0.0069
burri_1.jpg,Burri,16,6.1577,0.0306
burri_10.jpg,Burri,23,5.0331,-0.0776
burri_11.jpg,Burri,18,5.9293,-0.0376
burri_12.jpg,Burri,4,5.7064,0.0825
burri_13.jpg,Burri,6,6.3269,0.0044
burri_14.jpg,Burri,17,8.3715,-0.038
burri_15.jpg,Burri,18,5.7064,-0.0188
burri_2.jpg,Burri,25,6.0941,-0.0902
burri_3.jpg,Burri,18,8.549,-0.0312
burri_4.jpg,Burri,18,8.4174,-0.0228
burri_5.jpg,Burri,14,8.1324,0.0146
burri_6.jpg,Burri,4,4.6958,0.1069
burri_7.jpg,Burri,16,6.9898,-0.0492
burri_8.jpg,Burri,4,5.5001,0.0912
burri_9.jpg,Burri,16,5.5319,-0.0599
