nom,classe,x,y
delaunay-r_35.jpg,8,13.625755,1.236736
delaunay-r_36.jpg,8,11.940151,1.5735749
delaunay-r_4.jpg,8,14.994117,4.984609
delaunay-r_5.jpg,8,16.364552,-2.1615472
delaunay-r_9.jpg,10,-10.8321,-3.4641626
delaunay-s_10.jpg,8,15.097856,-2.5417345
delaunay-s_12.jpg,9,9.942453,2.5512242
delaunay-s_16.jpg,7,2.4105039,-15.342059
delaunay-s_17.jpg,10,14.150368,-6.247096
delaunay-s_18.jpg,8,16.344427,-2.1625936
delaunay-s_2.jpg,10,-0.59072113,-9.624838
delaunay-s_3.jpg,10,-6.3665776,-8.862555
delaunay-s_4.jpg,10,0.018996488,-16.591732
delaunay-s_5.jpg,10,-3.536147,2.948453
delaunay-s_6.jpg,9,6.1876884,3.221461
delaunay-s_7.jpg,8,16.37536,-2.1579187
delaunay-s_8.jpg,7,2.5309556,-15.334974
delporte_1.jpg,4,-14.419484,-3.491762
delprat_1.jpg,14,-10.526157,30.452173
devade_1.jpg,1,12.507855,18.715042
deyrolle_1.jpg,9,5.7595997,1.6900514
dezeuze_1.jpg,3,5.5584908,-14.811517
dezeuze_2.jpg,14,-14.498686,28.635162
diebenkorn_1.jpg,6,-8.183999,22.949675
dmitrienko_1.jpg,9,17.172468,1.3210504
do-amaral_17.jpg,11,23.166197,-18.666288
do-amaral_18.jpg,11,20.605856,-18.92324
doka_1.jpg,9,2.1199179,9.74314
domela_1.jpg,13,30.302513,8.966619
domela_2.jpg,0,11.798771,12.245919
domela_3.jpg,7,8.608781,-19.049072
domela_4.jpg,7,3.418791,-23.539865
domela_5.jpg,7,3.3924177,-22.994692
domela_6.jpg,0,-5.327517,-26.65223
domela_7.jpg,9,1.2812799,-1.4469668
dominguez_1.jpg,6,-4.246943,26.621588
dominguez_2.jpg,6,-10.406231,17.431074
dondi-white_1.jpg,6,-5.8883357,21.839369
dorazio_1.jpg,4,-18.428528,-5.781603
dordek_1.jpg,8,14.85568,1.1302205
dotremont_1.jpg,9,-29.307566,5.9593496
doumar_1.jpg,11,15.198218,-10.938367
drew_1.jpg,4,-22.041382,-6.8433394
du-pasquier_1.jpg,10,-14.26811,-16.349056
du-pasquier_2.jpg,4,-27.100819,-9.66633
du-pasquier_3.jpg,4,-28.62326,-8.074523
dubuffet_1.jpg,4,-28.597576,-7.498093
dubuffet_10.jpg,9,-27.692356,5.1092486
dubuffet_11.jpg,4,-33.571136,-4.406391
dubuffet_12.jpg,6,-29.003168,5.3313103
dubuffet_13.jpg,4,-27.344917,-7.4833593
dubuffet_14.jpg,4,-11.361024,-4.274591
dubuffet_16.jpg,2,-15.747956,-0.8241188
dubuffet_19.jpg,10,-13.652623,-11.64282
dubuffet_2.jpg,4,-16.656578,-0.60365516
dubuffet_21.jpg,6,-6.508621,10.880829
dubuffet_3.jpg,4,-19.739435,-5.183461
